source,filename,filepath,size_kb,page_count,file_hash,is_exact_duplicate,extraction_method,extraction_error,char_count,word_count,text_output_path,retry_status,detected_language,garbage_char_ratio,detected_year
ppqs_advisories,Advisory on Rugose Spiralling Whitefly (RSW) Aleurodicus rugioperculatus Martin on Coconut in Kerala & Tamil Nadu.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Rugose Spiralling Whitefly (RSW) Aleurodicus rugioperculatus Martin on Coconut in Kerala & Tamil Nadu.pdf,744.4,2,42a25006e457c27d6eb2dfa11858e5a8f9324fbe88726834eced85de87949d4d,False,native,,5207,796,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Rugose Spiralling Whitefly (RSW) Aleurodicus rugioperculatus Martin on Coconut in Kerala & Tamil Nadu.txt,not_applicable,unknown,,
ppqs_advisories,Advisory on Safe & Judicious utilization of Paclobutrazol Plant Growth Regulator.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Safe & Judicious utilization of Paclobutrazol Plant Growth Regulator.pdf,154.9,3,eef57bba71cd7833f2544dbda35b47f55f68a3efd73fb55327a0fe2916e73952,False,native,,4000,649,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Safe & Judicious utilization of Paclobutrazol Plant Growth Regulator.txt,not_applicable,en,0.015,2022.0
ppqs_advisories,Advisory on South East Asian thrips (Thrips   parvispinus) on Chilli.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on South East Asian thrips (Thrips   parvispinus) on Chilli.pdf,1588.5,6,a9a4401c48246ac24815b0cedfdb17a967809418a07ee682f818679580986220,False,native,,9052,1402,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on South East Asian thrips (Thrips   parvispinus) on Chilli.txt,not_applicable,en,0.022,2022.0
ppqs_advisories,Advisory on sucking pests of cotton crop.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on sucking pests of cotton crop.pdf,1582.9,5,10b0bf4c1a9bbfe929de1477cdcb4ba24e0eae3adb69acbbb884576f1a1abe8b,False,native,,9864,1916,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on sucking pests of cotton crop.txt,not_applicable,en,0.022,2022.0
ppqs_advisories,Advisory on White Grub (Holotrichia serrata) on Sugarcane crop.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on White Grub (Holotrichia serrata) on Sugarcane crop.pdf,478.0,2,59b4f4c1e2b8ef72982b74b1b9dd08852a3a6837d3b1c5ea2526c7f73144a0a6,False,native,,3053,495,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on White Grub (Holotrichia serrata) on Sugarcane crop.txt,not_applicable,en,0.026,2022.0
ppqs_advisories,Advisory on yellow rust in wheat growing areas.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on yellow rust in wheat growing areas.pdf,1925.9,3,4736e7f17fe17dd5921bcb728176350720c1a1237471bda2c4a61a1490281a04,False,native,,4078,595,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on yellow rust in wheat growing areas.txt,not_applicable,en,0.017,
ppqs_advisories,Advisory on yellow rust of wheat (Puccinia striiformis f. sp. triticl) to major wheat  growing areas.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on yellow rust of wheat (Puccinia striiformis f. sp. triticl) to major wheat  growing areas.pdf,877.9,3,04b8cdb11e6ffe55296108e05b788acb0d1d37a388e4cd0f6f2466a94119446f,False,native,,4796,851,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on yellow rust of wheat (Puccinia striiformis f. sp. triticl) to major wheat  growing areas.txt,not_applicable,en,0.03,2021.0
ppqs_advisories,Advisory on yellow rust of wheat (Puccinia striiformis f.sp. tritici) to major wheat growing areas.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on yellow rust of wheat (Puccinia striiformis f.sp. tritici) to major wheat growing areas.pdf,515.0,2,d6fd21f8e230bd76d80367d566bd4fbf65f3c106dcdb0a2e23ce6e9b13d8a4ad,False,native,,4419,694,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on yellow rust of wheat (Puccinia striiformis f.sp. tritici) to major wheat growing areas.txt,not_applicable,en,0.012,2023.0
ppqs_advisories,Advisory on yellow rust of wheat (Punccinia striiformis f.sp.tritici) to major wheat growing areas.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on yellow rust of wheat (Punccinia striiformis f.sp.tritici) to major wheat growing areas.pdf,2276.4,3,9decf0b97b311b226b03ab30e30da11a3efb6d09fd3ea415349515d16f0b02a4,False,native,,4522,643,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on yellow rust of wheat (Punccinia striiformis f.sp.tritici) to major wheat growing areas.txt,not_applicable,en,0.014,2019.0
ppqs_advisories,Conduct regular survey in the areas where recent Locust incursion was observed in Jaisalmer district of Rajasthan.pdf,../data/raw/pdfs/PPQS_Advisories\Conduct regular survey in the areas where recent Locust incursion was observed in Jaisalmer district of Rajasthan.pdf,283.5,1,925d10a288e16ed48f12b151995723a7b5926bc94efdc804164da03a01024c3b,False,native,,2240,333,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Conduct regular survey in the areas where recent Locust incursion was observed in Jaisalmer district of Rajasthan.txt,not_applicable,unknown,,
